,label,text,category
12114,neutral,@AmericanAir what's the status of flight 1357 out of sju?,0
1578,neutral,@united is it possible to add a Known Traveler Number to my ticket after Flight Booking Problems?,0
5726,neutral,@SouthwestAir Can you please follow so I can DM? Thx!,0
5360,neutral,@SouthwestAir would love Tix for Velour show-entered every contest and still haven't won :(,0
1582,neutral,@United can you help me get from IAH to SFO earlier tonight?,0
647,neutral,@united yall should probably work on that.,0
5338,neutral,@SouthwestAir greetings,0
7199,neutral,@JetBlue I believe you have to follow me so I can send you a message,0
11224,neutral,@USAirways OK she is worried that something is wrong with the flight - #1870 - and should she consider flying earlier,0
7480,neutral,@JetBlue Perhaps you need to start recruiting @msbgu ;),0
5174,neutral,@SouthwestAir The Opal Dragon book The Dragon (ALI) has woven his murdering ways from the Philippines to Australia http://t.co/c9p2ioSphM,0
12359,neutral,@AmericanAir we're all being told by emergency services to stay home for the next 24-48 hours.,0
6987,neutral,@JetBlue How do I know if my flight was deemed a dark flight?,0
13122,neutral,"@AmericanAir @MattThomasNews When did American Airlines start flying to and from Siberia? Wait, this is the USA? Oy!",0
739,neutral,@united This is NOT a local UNITED number for Malaysia   0011 800-55558000. What is your local United Airlines here in Kuala Lumpur ( KUL )?,0
10961,neutral,@USAirways can you help me reroute my trip?,0
12875,neutral,"@AmericanAir Yes, thanks I found those, didn't see the gray tab at first :)",0
4618,neutral,@SouthwestAir still there? I was posted up in Downtown waiting for y'all. On my way!,0
8104,neutral,@JetBlue I hope so. The plane does appear to be leaving a nearby terminal for our gate.,0
5508,neutral,@SouthwestAir  traveling 2bwi nMaryland 2morrw any chance the flight being Cancelled Flightled to inclement weather? Any chance can get earlier flight,0
7771,neutral,@jetblue what good with the inflight WiFi?,0
10589,neutral,@usairways Does anyone know the hold times for USAirways reservations?,0
5492,neutral,@SouthwestAir no her lunch was over by the time she got her call answered,0
8487,neutral,@JetBlue To DC this summer and help local youth get ready to return to school with math refresher courses. #FlyItForward,0
4784,neutral,@SouthwestAir had to be stuck in the middle seat :( http://t.co/dzeGAPfqw1,0
4626,neutral,"@SouthwestAir Dang, if only practice was an hour Late Flightr today...",0
3681,neutral,@united sent,0
4571,neutral,@SouthwestAir I have a few questions about flying with my Maltese puppy. Can you DM me?,0
2829,neutral,@united need to add service dog to my itinerary for tomorrow,0
6916,neutral,“@JetBlue: Our fleet's on fleek. http://t.co/7XMaV13G2W” http://t.co/Ela7TNtcIR,0
12084,neutral,"@AmericanAir Hi, can you please ticket my award ticket? The status is ""On Request"" now. Thanks.",0
4725,neutral,@SouthwestAir : thanks.are flights operating now or Cancelled Flightled?,0
8682,neutral,@JetBlue @drwinston001 I think we'll need a selfie as proof...,0
7796,neutral,@JetBlue actually flight 1089 not 1098,0
13003,neutral,@AmericanAir I had booked online but unable to Cancelled Flight online. But finally got thru.,0
6870,neutral,“@JetBlue: @maatkare67 We hope you're still our bae! @TatianaKing @thewayoftheid”haa man,0
11953,neutral,@AmericanAir what's the status of flight 1357 out of sju?,0
11115,neutral,@USAirways @AmericanAir when is US Air switching to AA iOS app? AA app is much better.,0
12369,neutral,"I'd like the 11c I originally tried for @AmericanAir - again, happy to pay the difference",0
4364,neutral,"@SouthwestAir sure, please follow me so I can do so?",0
11197,neutral,@USAirways skys r sunny air is cold I can't wait to get to #CLT,0
959,neutral,@united thank you for the quick response but I cannot dm you until you follow me as well,0
8256,neutral,@JetBlue Flight I want to book was $320 one day; went to purchase next day &amp; price doubled to $737. Inquiring on chance it may go down?,0
3596,neutral,@united can you please tell me where United flies to from Sydney Australia - pref Asia Pac or US as I have a voucher to redeem.,0
4277,neutral,@united that's what I thought! Thanks for the clarification!,0
4158,neutral,@united Got it.  I am following the United page.,0
1535,neutral,@united booked EWR-FLL in first for two on 3-8. Let's see how you compare to the garbage @AmericanAir first class has become,0
6963,neutral,@JetBlue everyone is overreacting. Keep up your swag!,0
128,neutral,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,0
11899,neutral,@AmericanAir Do you have any sort of live chat feature? We're in the UK right now and that call would cost us alot. :(,0
12066,neutral,@AmericanAir I did,0
6049,neutral,"@SouthwestAir schedule is open through the end of October, got Columbus day wknd in New England for ~50K points for 4! Check your calendar!",0
5324,neutral,@SouthwestAir FREE Cable Out of this World Technology and a mans dream come true... FREE and PORTABLE???!!! http://t.co/Qw1til96YA,0
5856,neutral,@SouthwestAir do you have any tickets to the Atlanta show? I would love to go with my sister ♥️🙏,0
13524,neutral,@AmericanAir thank you...I know it's a busy for you today but any help would be appreciated...,0
8274,neutral,"@JetBlue and of course that was supposed to say Logan, not login",0
11692,neutral,@USAirways @satesq theres only one flt PHL-CRW per day.,0
705,neutral,@united Okay thank you,0
4880,neutral,@SouthwestAir gimme,0
7095,neutral,"@JetBlue Or...

....how about a 1way LAX-NYC(area) under 190?! Is this possible ?",0
12151,neutral,@AmericanAir When will the old 777-200 fly ORD-PVG get upgraded?,0
7818,neutral,@JetBlue I clear that folder regularly and JetBlue is white listed so it never got to me.,0
13168,neutral,@AmericanAir dmed back,0
62,neutral,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",0
2669,neutral,"@united I have such a love hate relationship with you. Some days you're good, the others you are so terribly awful its saddening",0
8194,neutral,@JetBlue look what I capture at Uvf http://t.co/Lj2ZXZN8kG,0
4542,neutral,@SouthwestAir will do - if you follow back I can DM that info,0
13157,neutral,"@AmericanAir #AmericanView
The view of Oregon from seat 31F, flight AA1469 2/22/15 http://t.co/t9JBN9WZtq",0
4971,neutral,@SouthwestAir is having a party in the atl terminal. #letitgo http://t.co/qxTeqZm3yz,0
7968,neutral,"@JetBlue question, flying for the 1st time with my 16mont old son...do I need to bring anything for him? Birth certificate/S.S. card etc?",0
11833,neutral,@USAirways flight #3900 fro ORF to PHL.,0
6278,neutral,@SouthwestAir @love_dragonss AHHHH YES LAUREN,0
6798,neutral,@JetBlue Airline trouble this winter &amp; not getting good customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!,0
3327,neutral,@united i would like to know if its possiable to checkin online or must it be done at Schiphol?,0
38,neutral,@VirginAmerica when can I book my flight to Hawaii??,0
10403,neutral,@USAirways can I get an update on flight 680 to DCA?,0
4726,neutral,@SouthwestAir we checked in right at 24hr mark. Boarding C group with kids ages 6&amp;8 dnt want to be split. What sld we do?,0
14052,neutral,"@AmericanAir I need to get from Albuquerque, NM, USA, to Cebu, Philippines. I'm providing educational help for 800 kids. Can you help me?",0
6693,neutral,@SouthwestAir any chance of adding LAX-&gt;JFK direct any time in the future?,0
8814,neutral,@JetBlue Hi! Does my upcoming flight 2168 from West Palm to HPN have Fly-Fi?,0
3550,neutral,@united followed &amp; DM'd.,0
12022,neutral,@americanair I sure do. I'm running version 3.10.0,0
9296,neutral,"@USAirways while I’m asking… 2 of my 11 non upgraded flights, Attendants came &amp; greeted me &amp; thanked me for my business b/c I was Exec Plat.",0
10639,neutral,"@USAirways landed at Phoenix, but we had to board a flight quickly to Vegas so no time at the airport. What now?",0
4296,neutral,@united all day travel. #swag #ijustwanttosleep,0
2869,neutral,@united yes I've boarded this way many times &amp; have never had to show my pass on the Tarmac multiple times. Path was railed off. Only 1 way,0
4040,neutral,@United is it possible to upfare to P a segment where I have a GPU waitlisted?,0
517,neutral,@united why not? Is it a law or a policy?,0
9257,neutral,@USAirways what's going on with US Airways flight 805?   Why diverted to Charlotte?,0
315,neutral,@VirginAmerica are you ready!? Let's say it together.. 'Noooo turbulence today!' 😘,0
10421,neutral,"@USAirways well, depending on the policy will make the determination as to which airline is selected to travel.",0
1559,neutral,@united Didn't know that buying a seat in first class was just a 'request' to sit in first class! Very Interesting.,0
4293,neutral,@united actually we did not consider she might have made a mistake. She did not complain beyond that she indicated it on her reservation.,0
6671,neutral,@SouthwestAir landing early morning @BWI_Airport after snowfall. http://t.co/apRZsPxigE,0
4934,neutral,"@SouthwestAir Traveling with a 13 year old Thursday. He does not need an ID, correct?",0
2151,neutral,@united traveling with 3 young kids!! Chose our original flights for a reason.,0
9216,neutral,"@USAirways yes, with Delta!",0
8852,neutral,@JetBlue Airways Adds New Charter #Flight to Cuba - #Travel Wires (blog) http://t.co/Swb1gR57Cc,0
112,neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",0
6345,neutral,@SouthwestAir when will you have flights for October 2015 available?,0
8566,neutral,"@JetBlue my mom wanted me to change her seat along with my sister, but their two different reservations and idk",0
458,neutral,@VirginAmerica @JezzieGoldz club Virgin is bumping in New York http://t.co/HaQc7GDg7c,0
6984,neutral,@JetBlue hi I flew with your airline once in Australia and saw zero kangaroos. Had this been rectified,0
7158,neutral,😩😩😩“@JetBlue: Our fleet's on fleek. http://t.co/BBHTlZgH2C”,0
4539,neutral,"See you in ATL! “@SouthwestAir: Congrats to our #DestinationDragons winners! Ready, Atlanta? http://t.co/AY1GIdcfa4 http://t.co/yC7V2s0iOd”",0
7755,neutral,@JetBlue will we be able to watch the Oscars on our flight tomorrow?,0
1354,neutral,@united  @DENAirport United 787 in snowy Denver. http://t.co/w1AaKJumXA,0
8874,neutral,@JetBlue Connecticut❄️,0
4015,neutral,@united is there a referral program for the Milageplus explorer card?,0
7053,neutral,.@JetBlue Delete this tweet.,0
9316,neutral,"@USAirways also, can you explain why, when I checked in, on the US Airways site, &amp; picked ""Standby for 1st"" I was not put on the list?",0
9008,neutral,@USAirways How do I get a receipt for a change fee when I originally booked with miles?,0
4828,neutral,@southwestair Winter Weather for Denver extended for tomorrow by chance? Even to Late Flightr in the day would be super helpful.,0
11916,neutral,@AmericanAir u r horrible.went online to Cancelled Flight flight-no button-4that.Called CS &amp;wait time 40 mins&amp;put in my #.800#called&amp;it hungupNOHELP,0
7797,neutral,@JetBlue BOS to DCA 1098 at 7:16 pm.,0
6351,neutral,"@southwestair Hi, how do I add a flight to my account? Just created it",0
11243,neutral,@USAirways can they change to correct last name? Did via reservations already but said can't change ticket name..,0
11160,neutral,@USAirways @AmericanAir for frequent flyer miles can we schedule interchangeably and get credit?,0
8156,neutral,@JetBlue @cflanagian she's on to something,0
5473,neutral,@SouthwestAir booked the 8th.... Save me an emergency exit... Gotta stretch out,0
4185,neutral,"@united take a lesson from @VirginAmerica , they know how to treat customers!",0
7295,neutral,"@JetBlue okay so anything using contactless EMV should work, just your internal testing and training is currently Apple Pay specific?",0
576,neutral,"@united Cancelled Flighted our flight, didn't rebook us on added flight, now have to drive from a Denver to KC....thanks!",0
4632,neutral,@SouthwestAir: grrrrrr I need a flight there first! Maybe for my bday next month...,0
6701,neutral,@SouthwestAir sent,0
7528,neutral,@JetBlue don't I always?,0
154,neutral,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",0
14250,neutral,"@AmericanAir yes, I will do just that as soon as I have a moment to gather my thoughts.",0
1227,neutral,@United to operated #B767-300ER from #Newark to #Zurich @ZRH_airport replacing B767-400ER between 6MAY-23SEP instead till 23OCT #avgeek,0
7035,neutral,Too Late Flight. RT “@JetBlue: Our fleet's on fleek. http://t.co/nJ5Ga1gds5”,0
13169,neutral,"Yessir RT “@AmericanAir: @yourlocalnyer Good morning, Rob. We're showing the flight to sunny Mexico just pushed off the gate.”",0
7097,neutral,“@JetBlue: Our fleet's on fleek. http://t.co/ar0VayLmFc” Really Jet Blue? Lmao,0
6085,neutral,@SouthwestAir if you are giving tix to #DestinationDragons show would appreciate one or two for LA😄Flying from PHL to LAX on Friday,0
6205,neutral,"@SouthwestAir Times change, I guess. http://t.co/osox9h7fWY",0
14098,neutral,@AmericanAir 8:30 departure?  Sure. Is there a catering strike at JFK?  @FoxNews @CNBC @BloombergRadio http://t.co/HPgXYZRW8o,0
2837,neutral,@united exactly,0
8450,neutral,@JetBlue Can you tell me which days you fly direct BUF - FLL and FLL - BUF?,0
5615,neutral,"@SouthwestAir okay thank you :), also I did get a tweet earlier about 1.5 hrs ago saying I won &amp; should send a DM but then it was deleted?",0
2316,neutral,@united also checked email you have on file for me and it is correct,0
72,neutral,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",0
5524,neutral,@SouthwestAir Are there any current promotions/codes for Nashville-Denver? Thank you!,0
12442,neutral,@AmericanAir did that yesterday. On the phone with them now,0
10689,neutral,@USAirways Can you help me add a AAdvantage number and known traveler number to a reservation?,0
5954,neutral,@SouthwestAir yes can do,0
6989,neutral,"@JetBlue CEO battles to appease passengers, investors - Toledo Blade http://t.co/R4xJXQRX1z",0
9567,neutral,"@USAirways There is nothing on my USAir CC at this point, but the email stated I would be charged.  Thanks for the reply.",0
12447,neutral,@AmericanAir that's what is on my ticket and my confirmation email. Anything else?,0
7981,neutral,@JetBlue Hawaii what deals u have for me,0
5767,neutral,@SouthwestAir I WANNAA GO TO THE VEGAS SHOW SO BAD ID DOO ANYTHING #DestinationDragons,0
7927,neutral,@JetBlue my phone number when you have any news for me is (631)891-5722,0
14240,neutral,@AmericanAir Considering it was purchased on the 21st and I attempted to use it again on the 21st I believe it would fit these parameters.,0
6752,neutral,@JetBlue check DM please :),0
2427,neutral,@united I take it as a compliment that I was mistaken several times as a member of your staff on my flight... time to remove my scarf :),0
7627,neutral,@JetBlue on flight 622 from Nassau to JFK. Not showing Cancelled Flightled yet but assuming it will be? Any info?,0
812,neutral,@united Twitter isn't letting me DM you..,0
14199,neutral,@AmericanAir - Can you please give me a travel agent support phone number? I cant find it on your website. Thanks.,0
7078,neutral,BLOCK ME BIKE RT @JetBlue: Our fleet's on fleek. http://t.co/2z3hGqPRSG,0
3092,neutral,@united I'll be impressed if I actually get a response! 😜,0
13798,neutral,@AmericanAir it looks like a mistake,0
4585,neutral,@SouthwestAir I enjoyed a call from my good friend he's Flight Booking Problems his flights elsewhere as I tweet one at a time I will tell as many as I can,0
5969,neutral,"@SouthwestAir I can easily get to the Atlanta show, I just need tickets, help?!",0
8718,neutral,@JetBlue it was at JFK airport right now,0
13225,neutral,@AmericanAir  that's what I am hoping for,0
7794,neutral,"@JetBlue Thanks, it's for next weekend though so my guess is it will only go higher.",0
6580,neutral,@SouthwestAir from LGA to San Diego,0
5919,neutral,@SouthwestAir for my travel I see bz class and get away are sld out. Anytime is available . How do I know how many anytime are available?,0
9956,neutral,"@USAirways when AA gate supervisor 600117 was asked for his superiors name, response received was ""the CEO of #AmericanAirlines"" #merger",0
7057,neutral,@JetBlue also. My party { me and my sister and mom} are on three separate reservations. Will TSA lets us go through together or alone.,0
9610,neutral,"That's not the case.. They sent me a email with a link, I'll show you.. @USAirways http://t.co/hb799CCo0t",0
7665,neutral,@JetBlue I know you guys are super busy but is flight 1222 an a320 or e190?,0
12927,neutral,@AmericanAir are pets allowed in first class?,0
7014,neutral,"“@JetBlue: Our fleet's on fleek. http://t.co/pa7dCjXlzL”

C'mon fam😭😭 just. No. Ok?",0
12088,neutral,@AmericanAir Trying desperately to get my boyfriend booked on the same US Airways flight as myself for the same price. Can you help?,0
9025,neutral,"@USAirways ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/0JJT4X3YxG",0
2461,neutral,@united can you please follow for a DM?,0
23,neutral,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,0
4548,neutral,@SouthwestAir @Imaginedragons I tried. 😔 It's okay,0
7145,neutral,@JetBlue woof.,0
8904,neutral,@JetBlue @vegecomgirl For me it’s not until 6/15.,0
12164,neutral,@AmericanAir thanks for the info Is there a number I can call to speak to a person? It's going to take an hour to type it out,0
1225,neutral,@united at the gate! IAD to RDU,0
6964,neutral,“@JetBlue: Our fleet's on fleek. http://t.co/5KshTUe6Q0” 😂,0
4745,neutral,@SouthwestAir Can you equip a 737 with flamethrowers and a snow plow?,0
2014,neutral,@united it can't be delivered. It has to be held there for me to cross the border to pick up. Please don't try to deliver.,0
6087,neutral,@SouthwestAir only 1 guest needs to change a flight on a reservation of 2. How can I do it? I NEED this to happen. Say it can...Please help!,0
132,neutral,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,0
4149,neutral,@united Can you explain how it rewards us elite Premiere 1K members?,0
6281,neutral,@SouthwestAir my birthday is February 24th which is the date of the imagine dragons in flight concert btw,0
6053,neutral,@SouthwestAir when's the next deal going to happen a poor college student is trying to fly to Orlando instead of drive in August! Lol,0
3588,neutral,@united DCA-EWR Flight #4372,0
14639,neutral,@AmericanAir we have 8 ppl so we need 2 know how many seats are on the next flight. Plz put us on standby for 4 people on the next flight?,0
8836,neutral,@JetBlue the USA help line.  i accidentally booked a flight on a thursday instead of a wednesday and want to switch,0
4298,neutral,@united Filled in the form you sent the link to on 29.1.15 and then either 9 or 10.2.15,0
3509,neutral,@united I have.,0
12484,neutral,"@AmericanAir We did talk with Delta for about hour over phone, and I got a number from Delta that they asked to give to AA, which I did.",0
7664,neutral,@JetBlue  Alright I hope. My JetBlue app is showing a change in my seats and online shows an a320.  Don't want any surprises,0
13209,neutral,@AmericanAir is 2513 and 1555 on time or Cancelled Flightled?,0
7209,neutral,@JetBlue hello! my husband bought us a trip last night &amp; just noticed my last name is misspelled! What can I do? Thanks!,0
6265,neutral,@SouthwestAir is offering #CompanionPasses to Atlanta residing frequent fliers! http://t.co/mdN5ED58ze,0
8286,neutral,@jetblue I was able to access it by using the drop down instead of clicking on the tab.,0
12261,neutral,@AmericanAir now I understand!!,0
9533,neutral,"@USAirways I understand that, and when I'm attempting to change the information so they are identical, it tells me to call a #",0
11959,neutral,@americanair Yes to the iOS. I'm running iOS 8.1.3,0
13397,neutral,@AmericanAir at LAX &amp; just got off the phone w/reservations. Every flight that'd get me to BOS before 11 am tmrw is apparently unavailable 😐,0
4894,neutral,@SouthwestAir how do I get my companion pass?,0
3561,neutral,@united any info on delays at SFO tomorrow due to low clouds?,0
10100,neutral,@USAirways with chocoLate Flight please... i m melting http://t.co/jJdoSFYIBM,0
12917,neutral,@AmericanAir See photo of 787 model &amp; our PN 320008A wheel deflator specified in Chapter 32 of B787 AMM. http://t.co/oilnCfWEyg,0
10751,neutral,@USAirways there is nothing tonight and I am on the flight now with GOGO internet is there a way that someone could send me a DM or email?,0
2898,neutral,@united I looked on the email chain and there is not one,0
8037,neutral,@JetBlue and @WSJ team up offering in-flight access to journal content http://t.co/PTsbkA4cDJ,0
1269,neutral,"@united good morning, any first class upgrades available for ua1619 Feb 25  rsw to ewr? I need 4 seats please",0
8751,neutral,@JetBlue I have the emails that they are on their way,0
9811,neutral,@USAirways please have your people hold flight 599 from Phoenix to San Jose.  We pulling up to the gate! Scheduled to depart at 5:40,0
12462,neutral,Lol great answer.. “@AmericanAir: @JayFranceschi Our agents are checking in passengers as quickly as possible. We appreciate your patience.”,0
3899,neutral,"@united is pri boarding for ""Active Military"" or only ""In Uniform?"" 90% can't travel in uniform for OPSEC reason, even on official travel",0
340,neutral,"@VirginAmerica @VirginAtlantic @GMA @AmericanAir 
Can You Help #ourprincess in need of some help in #USA 
🎀🇬🇧🎀🇺🇸🎀 http://t.co/778AzTDaer",0
60,neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,0
14032,neutral,@AmericanAir Flight 1512 (N924AN) departs @FlyTPA enroute to @dfwairport http://t.co/j0mhMkDiVl,0
4737,neutral,@SouthwestAir to start 2xdaily #B737-700 flights from #Columbus OH to #Boston @BostonLogan on 8AUG #avgeek,0
2907,neutral,@united @JedediahBila KP I am not traveling - we trying to cheer up Ms. Bila.,0
4588,neutral,@SouthwestAir opened online applications for Fall 2015 intern positions throughout the company.  Apply via https://t.co/GmL7ot3IMH,0
8507,neutral,"@JetBlue It's absolute madness in the west, but tell me who you like between @memgrizz @warriors @spurs and @okcthunder",0
6142,neutral,@SouthwestAir Do you anticipate any Cancelled Flightlations for flights out of Nashville tomorrow? Thank you!,0
8101,neutral,"@jetblue We'd love to help Shanese Bryant-Melton, a hard-working grandmother from DC, go to Miami. It's on her bucket list. #flyitforward",0
8011,neutral,@JetBlue I'll take 3 round trip tickets to the closest warmest place please! #negativedegrees #buffalo #snowwillnevermelt,0
11608,neutral,@USAirways me too. Me too.,0
7265,neutral,"@JetBlue sorry, should have specified I meant ground traffic trying to get into the terminal",0
4345,neutral,@SouthwestAir can take u to Midway-Chicago March 8th-April 6th. Can't make it then? @AmericanAir can get u to @fly2ohare year round. #FlyPBI,0
6997,neutral,“@JetBlue: Our fleet's on fleek. http://t.co/4LlWi5oxvO” lmfaooooo hook me up with a flight!,0
8584,neutral,@JetBlue I thought the same thing after I sent it,0
2886,neutral,@united Are the current on board food menus available anywhere online?,0
7129,neutral,"@JetBlue @courteroy LOLZ. ""On Fleek""",0
1287,neutral,@united please help http://t.co/t5mRj5Yw6I,0
10775,neutral,"@USAirways I'm not a frequent flyer with US airways, I'm qantas? Can I still get notifications? Thank you",0
2480,neutral,@united  no thanks,0
3955,neutral,"@united even with the multiplier the ticket price will still never equal the amount of miles you travel, even for transatlantic flights!",0
9627,neutral,"@USAirways 4469, thank you for asking.",0
8452,neutral,@JetBlue I cri,0
10749,neutral,@USAirways  is a bag that is   23”L x 9”W x 12”H  allowed as a carry on?,0
14480,neutral,@AmericanAir when is next lax JFK flight today,0
77,neutral,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,0
10468,neutral,@USAirways Hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen?,0
10417,neutral,@USAirways I'm on flight 623 from DIA to Ontario tomorrow morning. no access to the airport via taxi or shuttle. What should I do?,0
11105,neutral,@USAirways US airways csr at Phoenix airport fixed the problem,0
13957,neutral,@AmericanAir Still looking as we speak.,0
3497,neutral,"@united I don't have a milage number. I can't sent my mail to you via DM, you're not following me. I follow you now, so you can sent me a DM",0
7842,neutral,@JetBlue minutes to spare.,0
9001,neutral,@USAirways that is certainly not the impression she's under.,0
7088,neutral,"😒 ""@JetBlue: Our fleet's on fleek. http://t.co/K66SRFnw77”",0
8844,neutral,@JetBlue No not yet. I will notify them. I'm new at this! 😊,0
5838,neutral,@SouthwestAir will you please work out a contract with @triflight to offer service there..,0
4832,neutral,@SouthwestAir Free TV watching Daytona 500! #Boss http://t.co/SbGBN7oUXy,0
10814,neutral,@USAirways I am just trying to establish what your policy is. Thanks!,0
5537,neutral,@SouthwestAir PLEASE HELP! I would die to see the Vegas show! It would be amazing to hear their songs for real!,0
12270,neutral,@AmericanAir Oh they seem  to have reappeared now lol,0
6211,neutral,@SouthwestAir please expedite missing bag claim #3526665682. Thanks!,0
8968,neutral,@USAirways is a DM possible if you aren't following me?,0
6264,neutral,@SouthwestAir  Southwest is currently awaiting government approval for this route. Do we know when it will be official?,0
4856,neutral,@SouthwestAir I have a child traveling cross country...she's 11 will be turning 12 in march...and (cont) http://t.co/Enh1keUUTd,0
10027,neutral,@USAirways flights to Dfw Cancelled Flightled today?,0
6576,neutral,"@SouthwestAir Is there any way to add a Known Traveler Number to an existing reservation online?  If not, why not?",0
9821,neutral,@USAirways pilot says that we are going to take off in 10 minutes. So maybe the systems came back online?,0
8479,neutral,@JetBlue Statement on #Lufthansa Incentive Offer - Digital Journal http://t.co/GqP69g9ZGW,0
8280,neutral,@JetBlue Hi. How do I claim points on a 1800-flowers order after I purchased? I totally forgot to put in the promo code.,0
151,neutral,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,0
3420,neutral,@united There is only one club at LAX  - in terminal 7 across from gate 71,0
10416,neutral,@USAirways I should also add the weather conditions are terrible. Expecting 18 inches of snow. Any advice?,0
6773,neutral,"@JetBlue flying w/ infant for the 1st time, can I bring a canister of powder formula for a carry on and/or use my plastic formula divider?",0
4636,neutral,@SouthwestAir how do get priority seating after you already paid for the flight,0
13613,neutral,@AmericanAir Can you respond to my DM?,0
8805,neutral,@JetBlue - I will for sure. But my TSA-Pre works with other airlines. Why is Jetblue different?,0
337,neutral,"@VirginAmerica Nice, Lofty View @flyLAXairport. #SilverStatus http://t.co/F4Tp0dAwbd",0
8580,neutral,"@JetBlue I'd like to spread my grandpa's ashes in Naples, Italy he lived in the 50's while serving his 30+ yrs in the @USNavy #FlyItForward",0
438,neutral,@VirginAmerica I miss the #nerdbird in San Jose,0
12219,neutral,“@AmericanAir: Bet these birds wish they'd flown south for the #winter... http://t.co/tY9C0Gae2o” Lol,0
5258,neutral,"@SouthwestAir departing MDW it's cold 26F, windy with snow on the ground for sunny and 70F las vegas  @LASairport http://t.co/2IR7ynMBdU",0
13399,neutral,@AmericanAir No worries. Don't blame you for weather.,0
6751,neutral,"@JetBlue update on Flight 462 would be appreciated when you have time, thanks",0
3038,neutral,@united Hi. My 2/23 flight from CUN-EWR shows a departure of 2:55pm on my United app.  Can you confirm?  Doesn't look correct.  Thanks.,0
35,neutral,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,0
